h,Open,High,Low,Close,Volume,Adj Close
01/04/2016,150.509995,152.960007,150.25,152.520004,3925500,147.257827
31/03/2016,149.789993,153.100006,149.360001,151.449997,6780600,146.224737
30/03/2016,149.949997,150.410004,148.320007,148.410004,3331200,143.289628
29/03/2016,147.589996,149.759995,147.5,149.330002,3138500,144.177885
28/03/2016,147.75,148.649994,147.229996,148.399994,3265100,143.279964
24/03/2016,144.979996,148.220001,144.490005,147.949997,5044500,142.845492
23/03/2016,148,148.029999,145.130005,145.399994,4764200,140.383468
22/03/2016,148.059998,149.279999,147.839996,148.100006,4081900,142.990326
21/03/2016,147.300003,148.710007,146.720001,148.630005,3721600,143.502039
18/03/2016,147.399994,147.509995,145.509995,147.089996,12089700,142.015163
17/03/2016,144.779999,147.320007,144.449997,147.039993,5821600,141.966885
16/03/2016,142.619995,144.880005,142.110001,144.789993,4221900,139.794514
15/03/2016,141.740005,143.330002,141.539993,142.960007,3707500,138.027665
14/03/2016,142.009995,143.190002,141.039993,142.779999,4048800,137.853867
11/03/2016,141.729996,142.919998,140.509995,142.360001,4421900,137.44836
10/03/2016,141.240005,141.470001,138.089996,140.190002,4020600,135.35323
09/03/2016,139.309998,142.169998,139.229996,140.410004,4406500,135.565641
08/03/2016,139.710007,140.350006,137.419998,139.070007,5579100,134.271876
07/03/2016,137.279999,140.509995,136.869995,140.149994,5171000,135.314602
04/03/2016,137.539993,139.419998,137.020004,137.800003,3968400,133.045689
03/03/2016,137.220001,137.960007,136.070007,137.800003,5156400,133.045689
02/03/2016,133.699997,137.440002,133.220001,136.300003,5217200,131.597441
01/03/2016,132.240005,134.639999,132.029999,134.369995,3788500,129.734022
29/02/2016,132,133.360001,130.899994,131.029999,4428000,126.50926
26/02/2016,134.509995,134.919998,131.949997,132.029999,4386200,127.474759
25/02/2016,133.289993,134.509995,130.880005,134.5,4358300,129.859541
24/02/2016,131.550003,133.490005,129.679993,132.800003,4122600,128.218197
23/02/2016,133.139999,133.410004,132.009995,132.399994,3439700,127.831989
22/02/2016,133.080002,134.309998,132.410004,133.770004,4457400,129.154731
19/02/2016,132.360001,133.649994,130.839996,133.080002,5125300,128.488535
18/02/2016,130,134,129.75,132.449997,9951600,127.880266
17/02/2016,123.709999,126.57,123.25,126.099998,4821000,121.749353
16/02/2016,121.830002,123.089996,121.339996,122.739998,4061400,118.505277
12/02/2016,119.260002,121.050003,118.349998,121.040001,4936500,116.863933
11/02/2016,118.779999,119.660004,116.900002,117.849998,7307600,113.783991
10/02/2016,125,125.290001,119.839996,120.190002,6469100,116.043261
09/02/2016,126.120003,126.93,123.769997,124.07,5957200,119.789392
08/02/2016,126,127.510002,124.129997,126.980003,7364000,122.598996
05/02/2016,127.220001,128.639999,125.849998,128.570007,7177700,122.878997
04/02/2016,125.080002,128.5,125,127.650002,5266500,121.999715
03/02/2016,123.989998,125.449997,122.290001,124.720001,6223500,119.199408
02/02/2016,123.669998,124.139999,122.639999,122.940002,3287300,117.498199
01/02/2016,124.400002,125.290001,123.709999,124.830002,3574900,119.304539
29/01/2016,123.279999,124.790001,122.959999,124.790001,8248100,119.266309
28/01/2016,121.260002,122.830002,121.010002,122.220001,3942500,116.810067
27/01/2016,122.730003,123.370003,120.650002,120.959999,5026400,115.605838
26/01/2016,122.25,123.610001,122.239998,122.589996,4617800,117.163685
25/01/2016,122.099998,124.230003,121.639999,122.080002,5446000,116.676265
22/01/2016,124.669998,124.739998,121.769997,122.5,9238400,117.077672
